Year,Province,Population_type,Education_type,Tuition
2015,Canada,Canadian,undergraduate,6201
2015,Canada,Canadian,graduate,6537
2015,Canada,International,undergraduate,22346
2015,Canada,International,graduate,14520
2015,NL,Canadian,undergraduate,2759
2015,NL,Canadian,graduate,2475
2015,NL,International,undergraduate,9360
2015,NL,International,graduate,2810
2015,PEI,Canadian,undergraduate,6130
2015,PEI,Canadian,graduate,4887
2015,PEI,International,undergraduate,22146
2015,PEI,International,graduate,10586
2015,NS,Canadian,undergraduate,6834
2015,NS,Canadian,graduate,8439
2015,NS,International,undergraduate,14705
2015,NS,International,graduate,16601
2015,NB,Canadian,undergraduate,6379
2015,NB,Canadian,graduate,5737
2015,NB,International,undergraduate,13125
2015,NB,International,graduate,10432
2015,QC,Canadian,undergraduate,2797
2015,QC,Canadian,graduate,2850
2015,QC,International,undergraduate,20269
2015,QC,International,graduate,14330
2015,ONT,Canadian,undergraduate,7865
2015,ONT,Canadian,graduate,9175
2015,ONT,International,undergraduate,27627
2015,ONT,International,graduate,19928
2015,MB,Canadian,undergraduate,4013
2015,MB,Canadian,graduate,4594
2015,MB,International,undergraduate,14385
2015,MB,International,graduate,10032
2015,SK,Canadian,undergraduate,6978
2015,SK,Canadian,graduate,3788
2015,SK,International,undergraduate,18096
2015,SK,International,graduate,5513
2015,AB,Canadian,undergraduate,5739
2015,AB,Canadian,graduate,5615
2015,AB,International,undergraduate,20412
2015,AB,International,graduate,8993
2015,BC,Canadian,undergraduate,5397
2015,BC,Canadian,graduate,8262
2015,BC,International,undergraduate,20485
2015,BC,International,graduate,12877
2016,Canada,Canadian,undergraduate,6375
2016,Canada,Canadian,graduate,6784
2016,Canada,International,undergraduate,23677
2016,Canada,International,graduate,15422
2016,NL,Canadian,undergraduate,2752
2016,NL,Canadian,graduate,2752
2016,NL,International,undergraduate,9321
2016,NL,International,graduate,3174
2016,PEI,Canadian,undergraduate,6310
2016,PEI,Canadian,graduate,5122
2016,PEI,International,undergraduate,21897
2016,PEI,International,graduate,11218
2016,NS,Canadian,undergraduate,7322
2016,NS,Canadian,graduate,8617
2016,NS,International,undergraduate,15747
2016,NS,International,graduate,17662
2016,NB,Canadian,undergraduate,6714
2016,NB,Canadian,graduate,5953
2016,NB,International,undergraduate,13669
2016,NB,International,graduate,10975
2016,QC,Canadian,undergraduate,2817
2016,QC,Canadian,graduate,2904
2016,QC,International,undergraduate,20576
2016,QC,International,graduate,14555
2016,ONT,Canadian,undergraduate,8154
2016,ONT,Canadian,graduate,9719
2016,ONT,International,undergraduate,29921
2016,ONT,International,graduate,21263
2016,MB,Canadian,undergraduate,4099
2016,MB,Canadian,graduate,4651
2016,MB,International,undergraduate,14550
2016,MB,International,graduate,10149
2016,SK,Canadian,undergraduate,7042
2016,SK,Canadian,graduate,3864
2016,SK,International,undergraduate,18671
2016,SK,International,graduate,5807
2016,AB,Canadian,undergraduate,5742
2016,AB,Canadian,graduate,5655
2016,AB,International,undergraduate,20601
2016,AB,International,graduate,9127
2016,BC,Canadian,undergraduate,5523
2016,BC,Canadian,graduate,8250
2016,BC,International,undergraduate,21761
2016,BC,International,graduate,14824
2017,Canada,Canadian,undergraduate,6618
2017,Canada,Canadian,graduate,6920
2017,Canada,International,undergraduate,25549
2017,Canada,International,graduate,16326
2017,NL,Canadian,undergraduate,2821
2017,NL,Canadian,graduate,2776
2017,NL,International,undergraduate,9241
2017,NL,International,graduate,3179
2017,PEI,Canadian,undergraduate,6485
2017,PEI,Canadian,graduate,4918
2017,PEI,International,undergraduate,21184
2017,PEI,International,graduate,11779
2017,NS,Canadian,undergraduate,7718
2017,NS,Canadian,graduate,8955
2017,NS,International,undergraduate,16717
2017,NS,International,graduate,18348
2017,NB,Canadian,undergraduate,6908
2017,NB,Canadian,graduate,6089
2017,NB,International,undergraduate,13872
2017,NB,International,graduate,11245
2017,QC,Canadian,undergraduate,2880
2017,QC,Canadian,graduate,2976
2017,QC,International,undergraduate,21182
2017,QC,International,graduate,14956
2017,ONT,Canadian,undergraduate,8519
2017,ONT,Canadian,graduate,9785
2017,ONT,International,undergraduate,32380
2017,ONT,International,graduate,22226
2017,MB,Canadian,undergraduate,4227
2017,MB,Canadian,graduate,4780
2017,MB,International,undergraduate,14616
2017,MB,International,graduate,10315
2017,SK,Canadian,undergraduate,7257
2017,SK,Canadian,graduate,3527
2017,SK,International,undergraduate,19176
2017,SK,International,graduate,5615
2017,AB,Canadian,undergraduate,5736
2017,AB,Canadian,graduate,5745
2017,AB,International,undergraduate,21043
2017,AB,International,graduate,11655
2017,BC,Canadian,undergraduate,5669
2017,BC,Canadian,graduate,8557
2017,BC,International,undergraduate,24261
2017,BC,International,graduate,16186
2018,Canada,Canadian,undergraduate,6822
2018,Canada,Canadian,graduate,7388
2018,Canada,International,undergraduate,27613
2018,Canada,International,graduate,16995
2018,NL,Canadian,undergraduate,2971
2018,NL,Canadian,graduate,2950
2018,NL,International,undergraduate,12042
2018,NL,International,graduate,4081
2018,PEI,Canadian,undergraduate,6632
2018,PEI,Canadian,graduate,4897
2018,PEI,International,undergraduate,20987
2018,PEI,International,graduate,12048
2018,NS,Canadian,undergraduate,8086
2018,NS,Canadian,graduate,9179
2018,NS,International,undergraduate,17719
2018,NS,International,graduate,19281
2018,NB,Canadian,undergraduate,7108
2018,NB,Canadian,graduate,6262
2018,NB,International,undergraduate,14657
2018,NB,International,graduate,11642
2018,QC,Canadian,undergraduate,2956
2018,QC,Canadian,graduate,3060
2018,QC,International,undergraduate,22618
2018,QC,International,graduate,15324
2018,ONT,Canadian,undergraduate,8793
2018,ONT,Canadian,graduate,10454
2018,ONT,International,undergraduate,35029
2018,ONT,International,graduate,22527
2018,MB,Canadian,undergraduate,4462
2018,MB,Canadian,graduate,4776
2018,MB,International,undergraduate,15546
2018,MB,International,graduate,10582
2018,SK,Canadian,undergraduate,7511
2018,SK,Canadian,graduate,4290
2018,SK,International,undergraduate,20167
2018,SK,International,graduate,6280
2018,AB,Canadian,undergraduate,5713
2018,AB,Canadian,graduate,6248
2018,AB,International,undergraduate,21491
2018,AB,International,graduate,13415
2018,BC,Canadian,undergraduate,5806
2018,BC,Canadian,graduate,8831
2018,BC,International,undergraduate,25717
2018,BC,International,graduate,17243
