Year,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,Grand Total
2010,"14,896,548","17,844,228","4,875,985","3,010,624","2,086,361","172,710","3,768,028","132,980","52,471,658","565,988","31,673,285","4,197,309","137,633","135,833,337"
2011,"15,119,953","17,998,556","4,927,943","3,021,760","2,098,900","173,623","3,777,276","136,200","52,990,689","574,626","31,976,254","4,257,160","140,863","137,193,803"
2012,"15,447,675","18,241,836","4,991,986","3,031,599","2,105,395","174,678","3,775,029","138,527","53,497,170","577,832","32,208,479","4,324,871","144,284","138,659,361"
2013,"15,859,211","18,498,855","5,051,822","3,033,644","2,109,792","175,165","3,764,367","140,852","53,981,842","576,320","32,409,227","4,389,403","145,655","140,136,155"
2014,"16,273,935","18,796,106","5,108,349","3,036,394","2,112,360","175,542","3,756,297","143,469","54,424,197","576,801","32,573,533","4,445,187","147,484","141,569,654"
2015,"16,548,357","19,082,570","5,164,103","3,037,185","2,113,237","176,998","3,749,412","145,593","54,792,403","578,067","32,691,481","4,482,873","149,981","142,712,260"
2016,"16,756,614","19,386,872","5,244,283","3,051,063","2,117,189","178,288","3,767,892","147,504","55,411,999","585,891","32,873,351","4,535,597","153,109","144,209,652"
2017,"16,945,119","19,681,992","5,327,896","3,063,986","2,114,428","179,437","3,797,118","149,760","56,199,095","598,819","33,168,867","4,594,617","157,437","145,978,571"
2018,"17,166,499","20,001,433","5,402,266","3,079,425","2,105,228","180,337","3,830,309","151,923","57,124,073","612,103","33,554,595","4,642,806","161,311","148,012,308"
2019,"17,422,845","20,339,311","5,470,522","3,104,622","2,096,208","180,598","3,876,364","154,090","58,077,322","627,367","33,960,015","4,686,750","164,796","150,160,810"
2020,"17,661,466","20,603,068","5,518,408","3,129,367","2,087,310","181,269","3,920,135","155,821","58,904,466","642,535","34,290,079","4,716,758","168,191","151,978,873"
2021,"17,777,275","20,814,349","5,535,195","3,153,500","2,081,668","181,971","3,958,675","157,583","59,296,860","654,364","34,402,191","4,719,996","171,011","152,904,638"