Sum of VALUE,Column Labels,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Row Labels,,,,,,,,,,,
Alberta,2671410,2753920,2846340,2943140,3023180,3028180,3040660,3091230,3142280,3205830,29746170
British Columbia,3367280,3425310,3453080,3511350,3574320,3635490,3694300,3761540,3846610,3945090,36214370
Manitoba,896160,910880,920330,931450,941200,952520,962510,973920,994080,1003140,9486190
New Brunswick,591500,594600,593730,593840,597020,599880,604060,607700,614610,617090,6014030
Newfoundland and Labrador,413970,418020,419820,421690,424780,425680,425090,424180,424450,422460,4220140
Northwest Territories,29900,30120,30080,30390,30730,31130,31160,31370,31630,31330,307840
Nova Scotia,719370,724310,722880,725060,727730,731360,736710,743870,751860,759080,7342230
Nunavut,18670,19180,19580,19910,20320,20790,21130,21790,22260,21750,205380
Ontario,9696020,9817430,9908300,10035570,10171270,10292850,10438530,10606490,10866680,11074250,102907390
Prince Edward Island,110010,111120,111020,111200,112280,113530,115640,117390,119930,121950,1144070
Quebec,6173610,6250650,6304270,6358580,6408770,6434030,6477620,6552030,6639350,6697500,64296410
Saskatchewan,771250,788140,800010,812130,820750,825870,830620,835830,852680,855030,8192310
Yukon,25090,26000,26270,26460,26790,27260,28050,28660,29390,29680,273650
Grand Total,25484240,25869680,26155710,26520770,26879140,27118570,27406080,27796000,28335810,28784180,270350180